District,Name,Party Code,State,Term End,Term Start,Session
1,Sonny Callahan,R,Alabama,,,101
2,Bill Dickinson,R,Alabama,,,101
2,Glen Browder,D,Alabama,,1989-04-04 00:00:00,101
4,Tom Bevill,D,Alabama,,,101
5,Ronnie G. Flippo,D,Alabama,,,101
6,Ben Erdreich,D,Alabama,,,101
7,Claude Harris,D,Alabama,,,101
At-large,Don Young,R,Alaska,,,101
1,John J. Rhodes III,R,Arizona,,,101
2,Mo Udall,D,Arizona,,,101
3,Bob Stump,R,Arizona,,,101
4,Jon Kyl,R,Arizona,,,101
5,Jim Kolbe,R,Arizona,,,101
1,Bill Alexander,D,Arkansas,,,101
2,Tommy F. Robinson,D then R,Arkansas,,,101
3,John Paul Hammerschmidt,R,Arkansas,,,101
4,"Beryl Anthony, Jr.",D,Arkansas,,,101
1,Douglas H. Bosco,D,California,,,101
2,Wally Herger,R,California,,,101
3,Robert T. Matsui,D,California,,,101
4,Vic Fazio,D,California,,,101
5,Nancy Pelosi,D,California,,,101
6,Barbara Boxer,D,California,,,101
7,George Miller,D,California,,,101
8,Ronald V. Dellums,D,California,,,101
9,Pete Stark,D,California,,,101
10,Don Edwards,D,California,,,101
11,Tom Lantos,D,California,,,101
12,Tom Campbell,R,California,,,101
13,Norman Y. Mineta,D,California,,,101
14,Norman D. Shumway,R,California,,,101
15,Tony Coelho,D,California,1989-06-15 00:00:00,,101
15,Gary Condit,D,California,,1989-09-12 00:00:00,101
16,Leon Panetta,D,California,,,101
17,Chip Pashayan,R,California,,,101
18,Richard H. Lehman,D,California,,,101
19,Robert J. Lagomarsino,R,California,,,101
20,Bill Thomas,R,California,,,101
21,Elton Gallegly,R,California,,,101
22,Carlos J. Moorhead,R,California,,,101
23,Anthony C. Beilenson,D,California,,,101
24,Henry A. Waxman,D,California,,,101
25,Edward R. Roybal,D,California,,,101
26,Howard L. Berman,D,California,,,101
27,Mel Levine,D,California,,,101
28,Julian C. Dixon,D,California,,,101
29,Augustus F. Hawkins,D,California,,,101
30,Matthew G. Martinez,D,California,,,101
31,Mervyn M. Dymally,D,California,,,101
32,Glenn M. Anderson,D,California,,,101
33,David Dreier,R,California,,,101
34,Esteban E. Torres,D,California,,,101
35,Jerry Lewis,R,California,,,101
36,"George Brown, Jr.",D,California,,,101
37,Al McCandless,R,California,,,101
38,Bob Dornan,R,California,,,101
39,William E. Dannemeyer,R,California,,,101
40,Christopher Cox,R,California,,,101
41,Bill Lowery,R,California,,,101
42,Dana Rohrabacher,R,California,,,101
43,Ron Packard,R,California,,,101
44,Jim Bates,D,California,,,101
45,Duncan Hunter,R,California,,,101
1,Patricia Schroeder,D,Colorado,,,101
2,David E. Skaggs,D,Colorado,,,101
3,Ben Nighthorse Campbell,D,Colorado,,,101
4,Hank Brown,R,Colorado,,,101
5,Joel Hefley,R,Colorado,,,101
6,Dan Schaefer,R,Colorado,,,101
1,Barbara B. Kennelly,D,Connecticut,,,101
2,Sam Gejdenson,D,Connecticut,,,101
3,Bruce A. Morrison,D,Connecticut,,,101
4,Christopher Shays,R,Connecticut,,,101
5,John G. Rowland,R,Connecticut,,,101
6,Nancy L. Johnson,R,Connecticut,,,101
At-large,Thomas R. Carper,D,Delaware,,,101
1,Earl Hutto,D,Florida,,,101
2,Bill Grant,D then R,Florida,,,101
3,Charles Edward Bennett,D,Florida,,,101
4,Craig T. James,R,Florida,,,101
5,Bill McCollum,R,Florida,,,101
6,Cliff Stearns,R,Florida,,,101
7,Sam M. Gibbons,D,Florida,,,101
8,C.W. Bill Young,R,Florida,,,101
9,Michael Bilirakis,R,Florida,,,101
10,Andy Ireland,R,Florida,,,101
11,Bill Nelson,D,Florida,,,101
12,Tom Lewis,R,Florida,,,101
13,Porter J. Goss,R,Florida,,,101
14,Harry A. Johnston,D,Florida,,,101
15,"E. Clay Shaw, Jr.",R,Florida,,,101
16,Lawrence J. Smith,D,Florida,,,101
17,William Lehman,D,Florida,,,101
18,Claude Pepper,D,Florida,1989-05-30 00:00:00,,101
18,Ileana Ros-Lehtinen,R,Florida,,1989-08-29 00:00:00,101
19,Dante B. Fascell,D,Florida,,,101
1,Lindsay Thomas,D,Georgia,,,101
2,Charles Floyd Hatcher,D,Georgia,,,101
3,Richard Ray,D,Georgia,,,101
4,Ben Jones,D,Georgia,,,101
5,John Lewis,D,Georgia,,,101
6,Newt Gingrich,R,Georgia,,,101
7,George Darden,D,Georgia,,,101
8,J. Roy Rowland,D,Georgia,,,101
9,Ed Jenkins,D,Georgia,,,101
10,"Doug Barnard, Jr.",D,Georgia,,,101
1,Patricia Saiki,R,Hawaii,,,101
2,Daniel K. Akaka,D,Hawaii,1990-05-15 00:00:00,,101
2,Patsy Mink,D,Hawaii,,1990-09-22 00:00:00,101
1,Larry Craig,R,Idaho,,,101
2,Richard H. Stallings,D,Idaho,,,101
1,Charles A. Hayes,D,Illinois,,,101
2,Gus Savage,D,Illinois,,,101
3,Marty Russo,D,Illinois,,,101
4,George E. Sangmeister,D,Illinois,,,101
5,William O. Lipinski,D,Illinois,,,101
6,Henry J. Hyde,R,Illinois,,,101
7,Cardiss Collins,D,Illinois,,,101
8,Dan Rostenkowski,D,Illinois,,,101
9,Sidney R. Yates,D,Illinois,,,101
10,John Edward Porter,R,Illinois,,,101
11,Frank Annunzio,D,Illinois,,,101
12,Philip M. Crane,R,Illinois,,,101
13,Harris W. Fawell,R,Illinois,,,101
14,Dennis Hastert,R,Illinois,,,101
15,Edward Madigan,R,Illinois,,,101
16,Lynn Morley Martin,R,Illinois,,,101
17,Lane Evans,D,Illinois,,,101
18,Robert H. Michel,R,Illinois,,,101
19,Terry L. Bruce,D,Illinois,,,101
20,Richard J. Durbin,D,Illinois,,,101
21,Jerry F. Costello,D,Illinois,,,101
22,Glenn Poshard,D,Illinois,,,101
1,Peter J. Visclosky,D,Indiana,,,101
2,Philip R. Sharp,D,Indiana,,,101
3,John Hiler,R,Indiana,,,101
3,Jill L. Long,D,Indiana,,1989-03-28 00:00:00,101
5,Jim Jontz,D,Indiana,,,101
6,Dan Burton,R,Indiana,,,101
7,John T. Myers,R,Indiana,,,101
8,Frank McCloskey,D,Indiana,,,101
9,Lee H. Hamilton,D,Indiana,,,101
10,"Andrew Jacobs, Jr.",D,Indiana,,,101
1,James A. Leach,R,Iowa,,,101
2,Tom Tauke,R,Iowa,,,101
3,Dave Nagle,D,Iowa,,,101
4,Neal Smith,D,Iowa,,,101
5,Jim Ross Lightfoot,R,Iowa,,,101
6,Fred Grandy,R,Iowa,,,101
1,Pat Roberts,R,Kansas,,,101
2,Jim Slattery,D,Kansas,,,101
3,Jan Meyers,R,Kansas,,,101
4,Dan Glickman,D,Kansas,,,101
5,Bob Whittaker,R,Kansas,,,101
1,"Carroll Hubbard, Jr.",D,Kentucky,,,101
2,William H. Natcher,D,Kentucky,,,101
3,Romano L. Mazzoli,D,Kentucky,,,101
4,Jim Bunning,R,Kentucky,,,101
5,Hal Rogers,R,Kentucky,,,101
6,Larry J. Hopkins,R,Kentucky,,,101
7,Carl C. Perkins,D,Kentucky,,,101
1,Bob Livingston,R,Louisiana,,,101
2,"Corinne Claiborne ""Lindy"" Boggs",D,Louisiana,,,101
3,"Wilbert J. ""Billy"" Tauzin",D,Louisiana,,,101
4,Jim McCrery,R,Louisiana,,,101
5,"Thomas J. ""Jerry"" Huckaby",D,Louisiana,,,101
6,Richard H. Baker,R,Louisiana,,,101
7,Jimmy Hayes,D,Louisiana,,,101
8,Clyde C. Holloway,R,Louisiana,,,101
1,Joseph E. Brennan,D,Maine,,,101
2,Olympia J. Snowe,R,Maine,,,101
1,Roy Dyson,D,Maryland,,,101
2,Helen Delich Bentley,R,Maryland,,,101
3,Benjamin L. Cardin,D,Maryland,,,101
4,Tom McMillen,D,Maryland,,,101
5,Steny H. Hoyer,D,Maryland,,,101
6,Beverly B. Byron,D,Maryland,,,101
7,Kweisi Mfume,D,Maryland,,,101
8,Constance A. Morella,R,Maryland,,,101
1,Silvio O. Conte,R,Massachusetts,,,101
2,Richard E. Neal,D,Massachusetts,,,101
3,Joseph D. Early,D,Massachusetts,,,101
4,Barney Frank,D,Massachusetts,,,101
5,Chester G. Atkins,D,Massachusetts,,,101
6,Nicholas Mavroules,D,Massachusetts,,,101
7,Edward J. Markey,D,Massachusetts,,,101
8,Joseph P. Kennedy II,D,Massachusetts,,,101
9,John Joseph Moakley,D,Massachusetts,,,101
10,Gerry E. Studds,D,Massachusetts,,,101
11,Brian J. Donnelly,D,Massachusetts,,,101
1,"John Conyers, Jr.",D,Michigan,,,101
2,Carl D. Pursell,R,Michigan,,,101
3,Howard Wolpe,D,Michigan,,,101
4,Fred Upton,R,Michigan,,,101
5,Paul B. Henry,R,Michigan,,,101
6,Bob Carr,D,Michigan,,,101
7,Dale E. Kildee,D,Michigan,,,101
8,Bob Traxler,D,Michigan,,,101
9,Guy Vander Jagt,R,Michigan,,,101
10,Bill Schuette,R,Michigan,,,101
11,Robert William Davis,R,Michigan,,,101
12,David E. Bonior,D,Michigan,,,101
13,"George W. Crockett, Jr.",D,Michigan,,,101
14,Dennis M. Hertel,D,Michigan,,,101
15,William D. Ford,D,Michigan,,,101
16,John D. Dingell,D,Michigan,,,101
17,Sander M. Levin,D,Michigan,,,101
18,William S. Broomfield,R,Michigan,,,101
1,Tim Penny,DFL,Minnesota,,,101
2,Vin Weber,R,Minnesota,,,101
3,Bill Frenzel,R,Minnesota,,,101
4,Bruce F. Vento,DFL,Minnesota,,,101
5,Martin Olav Sabo,DFL,Minnesota,,,101
6,Gerry Sikorski,DFL,Minnesota,,,101
7,Arlan Stangeland,R,Minnesota,,,101
8,James L. Oberstar,DFL,Minnesota,,,101
1,Jamie L. Whitten,D,Mississippi,,,101
2,Mike Espy,D,Mississippi,,,101
3,G.V. Montgomery,D,Mississippi,,,101
4,Mike Parker,D,Mississippi,,,101
5,Larkin I. Smith,R,Mississippi,1989-08-13 00:00:00,,101
5,Gene Taylor,D,Mississippi,,1989-10-17 00:00:00,101
1,William L. Clay,D,Missouri,,,101
2,Jack Buechner,R,Missouri,,,101
3,Dick Gephardt,D,Missouri,,,101
4,Ike Skelton,D,Missouri,,,101
5,Alan Wheat,D,Missouri,,,101
6,Tom Coleman,R,Missouri,,,101
7,Mel Hancock,R,Missouri,,,101
8,Bill Emerson,R,Missouri,,,101
9,Harold L. Volkmer,D,Missouri,,,101
1,John Patrick Williams,D,Montana,,,101
2,Ron Marlenee,R,Montana,,,101
1,Doug Bereuter,R,Nebraska,,,101
2,Peter Hoagland,D,Nebraska,,,101
3,Virginia Smith,R,Nebraska,,,101
1,James Bilbray,D,Nevada,,,101
2,Barbara F. Vucanovich,R,Nevada,,,101
1,Bob Smith,R,New Hampshire,1990-12-07 00:00:00,,101
2,Charles Douglas III,R,New Hampshire,,,101
1,James Florio,D,New Jersey,1990-01-16 00:00:00,,101
1,Rob Andrews,D,New Jersey,,1990-11-06 00:00:00,101
2,William J. Hughes,D,New Jersey,,,101
3,"Frank Pallone, Jr.",D,New Jersey,,,101
4,Chris Smith,R,New Jersey,,,101
5,Marge Roukema,R,New Jersey,,,101
6,Bernard J. Dwyer,D,New Jersey,,,101
7,Matthew J. Rinaldo,R,New Jersey,,,101
8,Robert A. Roe,D,New Jersey,,,101
9,Robert G. Torricelli,D,New Jersey,,,101
10,Donald M. Payne,D,New Jersey,,,101
11,Dean A. Gallo,R,New Jersey,,,101
12,Jim Courter,R,New Jersey,,,101
13,H. James Saxton,R,New Jersey,,,101
14,Frank J. Guarini,D,New Jersey,,,101
1,Steven H. Schiff,R,New Mexico,,,101
2,Joe Skeen,R,New Mexico,,,101
3,Bill Richardson,D,New Mexico,,,101
1,George J. Hochbrueckner,D,New York,,,101
2,Thomas J. Downey,D,New York,,,101
3,Robert J. Mrazek,D,New York,,,101
4,Norman F. Lent,R,New York,,,101
5,Raymond J. McGrath,R,New York,,,101
6,Floyd H. Flake,D,New York,,,101
7,Gary L. Ackerman,D,New York,,,101
8,James H. Scheuer,D,New York,,,101
9,Thomas J. Manton,D,New York,,,101
10,Charles E. Schumer,D,New York,,,101
11,Edolphus Towns,D,New York,,,101
12,Major R. Owens,D,New York,,,101
13,Stephen J. Solarz,D,New York,,,101
14,Guy V. Molinari,R,New York,,,101
14,Susan Molinari,R,New York,,1990-03-20 00:00:00,101
15,S. William Green,R,New York,,,101
16,Charles B. Rangel,D,New York,,,101
17,Ted Weiss,D,New York,,,101
18,Robert Garcia,D,New York,1990-01-07 00:00:00,,101
18,José Serrano,D,New York,,1990-03-20 00:00:00,101
19,Eliot L. Engel,D,New York,,,101
20,Nita M. Lowey,D,New York,,,101
21,"Hamilton Fish, Jr.",R,New York,,,101
22,Benjamin A. Gilman,R,New York,,,101
23,Michael R. McNulty,D,New York,,,101
24,Gerald B.H. Solomon,R,New York,,,101
25,Sherwood Boehlert,R,New York,,,101
26,David O'Brien Martin,R,New York,,,101
27,James T. Walsh,R,New York,,,101
28,Matthew F. McHugh,D,New York,,,101
29,Frank Horton,R,New York,,,101
30,Louise M. Slaughter,D,New York,,,101
31,Bill Paxon,R,New York,,,101
32,John J. LaFalce,D,New York,,,101
33,Henry J. Nowak,D,New York,,,101
34,Amo Houghton,R,New York,,,101
1,"Walter B. Jones, Sr.",D,North Carolina,,,101
2,Tim Valentine,D,North Carolina,,,101
3,Martin Lancaster,D,North Carolina,,,101
4,David Price,D,North Carolina,,,101
5,Stephen L. Neal,D,North Carolina,,,101
6,Howard Coble,R,North Carolina,,,101
7,Charlie Rose,D,North Carolina,,,101
8,Bill Hefner,D,North Carolina,,,101
9,Alex McMillan,R,North Carolina,,,101
10,Cass Ballenger,R,North Carolina,,,101
11,James McClure Clarke,D,North Carolina,,,101
At-large,Byron L. Dorgan,D,North Dakota,,,101
1,Tom Luken,D,Ohio,,,101
2,Bill Gradison,R,Ohio,,,101
3,Tony P. Hall,D,Ohio,,,101
4,Mike Oxley,R,Ohio,,,101
5,Paul Gillmor,R,Ohio,,,101
6,Bob McEwen,R,Ohio,,,101
7,Mike DeWine,R,Ohio,,,101
8,"Donald E. ""Buz"" Lukens",R,Ohio,1990-10-24 00:00:00,,101
9,Marcy Kaptur,D,Ohio,,,101
10,Clarence E. Miller,R,Ohio,,,101
11,Dennis E. Eckart,D,Ohio,,,101
12,John Kasich,R,Ohio,,,101
13,Don Pease,D,Ohio,,,101
14,Thomas C. Sawyer,D,Ohio,,,101
15,Chalmers Wylie,R,Ohio,,,101
16,Ralph Regula,R,Ohio,,,101
17,Jim Traficant,D,Ohio,,,101
18,Douglas Applegate,D,Ohio,,,101
19,Edward F. Feighan,D,Ohio,,,101
20,Mary Rose Oakar,D,Ohio,,,101
21,Louis Stokes,D,Ohio,,,101
1,James M. Inhofe,R,Oklahoma,,,101
2,Mike Synar,D,Oklahoma,,,101
3,Wes Watkins,D,Oklahoma,,,101
4,Dave McCurdy,D,Oklahoma,,,101
5,Mickey Edwards,R,Oklahoma,,,101
6,Glenn English,D,Oklahoma,,,101
1,Les AuCoin,D,Oregon,,,101
2,Bob Smith,R,Oregon,,,101
3,Ron Wyden,D,Oregon,,,101
4,Peter A. DeFazio,D,Oregon,,,101
5,Denny Smith,R,Oregon,,,101
1,Thomas M. Foglietta,D,Pennsylvania,,,101
2,William H. Gray,D,Pennsylvania,,,101
3,Robert A. Borski,D,Pennsylvania,,,101
4,Joe Kolter,D,Pennsylvania,,,101
5,Dick Schulze,R,Pennsylvania,,,101
6,Gus Yatron,D,Pennsylvania,,,101
7,Curt Weldon,R,Pennsylvania,,,101
8,Peter H. Kostmayer,D,Pennsylvania,,,101
9,Bud Shuster,R,Pennsylvania,,,101
10,Joseph M. McDade,R,Pennsylvania,,,101
11,Paul E. Kanjorski,D,Pennsylvania,,,101
12,John P. Murtha,D,Pennsylvania,,,101
13,Lawrence Coughlin,R,Pennsylvania,,,101
14,William J. Coyne,D,Pennsylvania,,,101
15,Donald L. Ritter,R,Pennsylvania,,,101
16,Robert Smith Walker,R,Pennsylvania,,,101
17,George W. Gekas,R,Pennsylvania,,,101
18,Doug Walgren,D,Pennsylvania,,,101
19,William F. Goodling,R,Pennsylvania,,,101
20,Joseph M. Gaydos,D,Pennsylvania,,,101
21,Tom Ridge,R,Pennsylvania,,,101
22,Austin J. Murphy,D,Pennsylvania,,,101
23,William F. Clinger,R,Pennsylvania,,,101
1,Ronald K. Machtley,R,Rhode Island,,,101
2,Claudine Schneider,R,Rhode Island,,,101
1,"Arthur Ravenel, Jr.",R,South Carolina,,,101
2,Floyd Spence,R,South Carolina,,,101
3,Butler Derrick,D,South Carolina,,,101
4,Liz J. Patterson,D,South Carolina,,,101
5,"John M. Spratt, Jr.",D,South Carolina,,,101
6,Robin Tallon,D,South Carolina,,,101
At-large,Tim Johnson,D,South Dakota,,,101
1,James H. Quillen,R,Tennessee,,,101
2,"John J. Duncan, Jr.",R,Tennessee,,,101
3,Marilyn Lloyd,D,Tennessee,,,101
4,Jim Cooper,D,Tennessee,,,101
5,Bob Clement,D,Tennessee,,,101
6,Bart Gordon,D,Tennessee,,,101
7,Don Sundquist,R,Tennessee,,,101
8,John S. Tanner,D,Tennessee,,,101
9,"Harold E. Ford, Sr.",D,Tennessee,,,101
1,Jim Chapman,D,Texas,,,101
2,Charles Wilson,D,Texas,,,101
3,Steve Bartlett,R,Texas,,,101
4,Ralph M. Hall,D,Texas,,,101
5,John Wiley Bryant,D,Texas,,,101
6,Joe Barton,R,Texas,,,101
7,"William Reynolds Archer, Jr.",R,Texas,,,101
8,Jack Fields,R,Texas,,,101
9,Jack Brooks,D,Texas,,,101
10,J. J. Pickle,D,Texas,,,101
11,Marvin Leath,D,Texas,,,101
12,Jim Wright,D,Texas,1989-06-30 00:00:00,,101
12,Pete Geren,D,Texas,,1989-09-12 00:00:00,101
13,Bill Sarpalius,D,Texas,,,101
14,Greg Laughlin,D,Texas,,,101
15,Kika de la Garza,D,Texas,,,101
16,Ronald D. Coleman,D,Texas,,,101
17,Charles W. Stenholm,D,Texas,,,101
18,Mickey Leland,D,Texas,1989-08-07 00:00:00,,101
18,Craig Washington,D,Texas,,1989-12-09 00:00:00,101
19,Larry Combest,R,Texas,,,101
20,Henry B. Gonzalez,D,Texas,,,101
21,Lamar S. Smith,R,Texas,,,101
22,Tom DeLay,R,Texas,,,101
23,Albert G. Bustamante,D,Texas,,,101
24,Martin Frost,D,Texas,,,101
25,Michael A. Andrews,D,Texas,,,101
26,Richard K. Armey,R,Texas,,,101
27,Solomon P. Ortiz,D,Texas,,,101
1,James V. Hansen,R,Utah,,,101
2,Wayne Owens,D,Utah,,,101
3,Howard C. Nielson,R,Utah,,,101
At-large,Peter Smith,R,Vermont,,,101
1,Herbert H. Bateman,R,Virginia,,,101
2,Owen B. Pickett,D,Virginia,,,101
3,"Thomas J. Bliley, Jr.",R,Virginia,,,101
4,Norman Sisisky,D,Virginia,,,101
5,"Lewis F. Payne, Jr.",D,Virginia,,,101
6,Jim Olin,D,Virginia,,,101
7,"D. French Slaughter, Jr.",R,Virginia,,,101
8,Stan Parris,R,Virginia,,,101
9,Rick Boucher,D,Virginia,,,101
10,Frank R. Wolf,R,Virginia,,,101
1,John Miller,R,Washington,,,101
2,Al Swift,D,Washington,,,101
3,Jolene Unsoeld,D,Washington,,,101
4,Sid Morrison,R,Washington,,,101
5,Thomas S. Foley,D,Washington,,,101
6,Norman D. Dicks,D,Washington,,,101
7,Jim McDermott,D,Washington,,,101
8,Rod Chandler,R,Washington,,,101
1,Alan B. Mollohan,D,West Virginia,,,101
2,"Harley O. Staggers, Jr.",D,West Virginia,,,101
3,Bob Wise,D,West Virginia,,,101
4,Nick J. Rahall II,D,West Virginia,,,101
1,Les Aspin,D,Wisconsin,,,101
2,Robert W. Kastenmeier,D,Wisconsin,,,101
3,Steve Gunderson,R,Wisconsin,,,101
4,Gerald D. Kleczka,D,Wisconsin,,,101
5,Jim Moody,D,Wisconsin,,,101
6,Thomas E. Petri,R,Wisconsin,,,101
7,David R. Obey,D,Wisconsin,,,101
8,Toby Roth,R,Wisconsin,,,101
9,"F. James Sensenbrenner, Jr.",R,Wisconsin,,,101
At-large,Dick Cheney,R,Wyoming,1989-03-17 00:00:00,,101
At-large,Craig L. Thomas,R,Wyoming,,1989-04-26 00:00:00,101
American Samoa,Eni F.H. Faleomavaega,D,Non-voting members,,,101
District of Columbia,Walter E. Fauntroy,D,Non-voting members,,,101
Guam,Ben Blaz,R,Non-voting members,,,101
Puerto Rico,Jaime B. Fuster,PD,Non-voting members,,,101
Virgin Islands,Ron de Lugo,D,Non-voting members,,,101
1,Sonny Callahan,R,Alabama,,,102
2,Bill Dickinson,R,Alabama,,,102
3,Glen Browder,D,Alabama,,,102
4,Tom Bevill,D,Alabama,,,102
5,Robert E. Cramer,D,Alabama,,,102
6,Ben Erdreich,D,Alabama,,,102
7,Claude Harris,D,Alabama,,,102
At-larg,Don Young,R,Alaska,,,102
1,John J. Rhodes III,R,Arizona,,,102
2,Mo Udall,D,,,102
2,Ed Pastor,D,Arizona,,1991-10-03 00:00:00,102
3,Bob Stump,R,Arizona,,,102
4,Jon Kyl,R,Arizona,,,102
5,Jim Kolbe,R,Arizona,,,102
1,Bill Alexander,D,Arkansas,,,102
2,Ray Thornton,D,Arkansas,,,102
3,John Paul Hammerschmidt,R,Arkansas,,,102
4,"Beryl Anthony, Jr.",D,Arkansas,,,102
1,Frank Riggs,R,California,,,102
2,Wally Herger,R,California,,,102
3,Robert T. Matsui,D,California,,,102
4,Vic Fazio,D,California,,,102
5,Nancy Pelosi,D,California,,,102
6,Barbara Boxer,D,California,,,102
7,George Miller,D,California,,,102
8,Ronald V. Dellums,D,California,,,102
9,Pete Stark,D,California,,,102
10,Don Edwards,D,California,,,102
11,Tom Lantos,D,California,,,102
12,Tom Campbell,R,California,,,102
13,Norman Y. Mineta,D,California,,,102
14,John T. Doolittle,R,California,,,102
15,Gary Condit,D,California,,,102
16,Leon Panetta,D,California,,,102
17,Calvin Dooley,D,California,,,102
18,Richard H. Lehman,D,California,,,102
19,Robert J. Lagomarsino,R,California,,,102
20,Bill Thomas,R,California,,,102
21,Elton Gallegly,R,California,,,102
22,Carlos J. Moorhead,R,California,,,102
23,Anthony C. Beilenson,D,California,,,102
24,Henry A. Waxman,D,California,,,102
25,Edward R. Roybal,D,California,,,102
26,Howard L. Berman,D,California,,,102
27,Mel Levine,D,California,,,102
28,Julian C. Dixon,D,California,,,102
29,Maxine Waters,D,California,,,102
30,Matthew G. Martinez,D,California,,,102
31,Mervyn M. Dymally,D,California,,,102
32,Glenn M. Anderson,D,California,,,102
33,David Dreier,R,California,,,102
34,Esteban E. Torres,D,California,,,102
35,Jerry Lewis,R,California,,,102
36,"George Brown, Jr.",D,California,,,102
37,Al McCandless,R,California,,,102
38,Bob Dornan,R,California,,,102
39,William E. Dannemeyer,R,California,,,102
40,Christopher Cox,R,California,,,102
41,Bill Lowery,R,California,,,102
42,Dana Rohrabacher,R,California,,,102
43,Ron Packard,R,California,,,102
44,Randy Cunningham,R,California,,,102
45,Duncan Hunter,R,California,,,102
1,Patricia Schroeder,D,Colorado,,,102
2,David E. Skaggs,D,Colorado,,,102
3,Ben Nighthorse Campbell,D,Colorado,,,102
4,Wayne Allard,R,Colorado,,,102
5,Joel Hefley,R,Colorado,,,102
6,Dan Schaefer,R,Colorado,,,102
1,Barbara B. Kennelly,D,Connecticut,,,102
2,Sam Gejdenson,D,Connecticut,,,102
3,Rosa L. DeLauro,D,Connecticut,,,102
4,Christopher Shays,R,Connecticut,,,102
5,Gary A. Franks,R,Connecticut,,,102
6,Nancy L. Johnson,R,Connecticut,,,102
At-larg,Tom Carper,D,Delaware,,,102
1,Earl Hutto,D,Florida,,,102
2,Pete Peterson,D,Florida,,,102
3,Charles Edward Bennett,D,Florida,,,102
4,Craig T. James,R,Florida,,,102
5,Bill McCollum,R,Florida,,,102
6,Cliff Stearns,R,Florida,,,102
7,Sam M. Gibbons,D,Florida,,,102
8,C.W. Bill Young,R,Florida,,,102
9,Michael Bilirakis,R,Florida,,,102
10,Andy Ireland,R,Florida,,,102
11,Jim Bacchus,D,Florida,,,102
12,Tom Lewis,R,Florida,,,102
13,Porter J. Goss,R,Florida,,,102
14,Harry A. Johnston,D,Florida,,,102
15,"E. Clay Shaw, Jr.",R,Florida,,,102
16,Lawrence J. Smith,D,Florida,,,102
17,William Lehman,D,Florida,,,102
18,Ileana Ros-Lehtinen,R,Florida,,,102
19,Dante B. Fascell,D,Florida,,,102
1,Lindsay Thomas,D,Georgia,,,102
2,Charles Floyd Hatcher,D,Georgia,,,102
3,Richard Ray,D,Georgia,,,102
4,Ben Jones,D,Georgia,,,102
5,John Lewis,D,Georgia,,,102
6,Newt Gingrich,R,Georgia,,,102
7,George Darden,D,Georgia,,,102
8,J. Roy Rowland,D,Georgia,,,102
9,Ed Jenkins,D,Georgia,,,102
10,"Doug Barnard, Jr.",D,Georgia,,,102
1,Neil Abercrombie,D,Hawaii,,,102
2,Patsy T. Mink,D,Hawaii,,,102
1,Larry LaRocco,D,Idaho,,,102
2,Richard H. Stallings,D,Idaho,,,102
1,Charles A. Hayes,D,Illinois,,,102
2,Gus Savage,D,Illinois,,,102
3,Marty Russo,D,Illinois,,,102
4,George E. Sangmeister,D,Illinois,,,102
5,William O. Lipinski,D,Illinois,,,102
6,Henry J. Hyde,R,Illinois,,,102
7,Cardiss Collins,D,Illinois,,,102
8,Dan Rostenkowski,D,Illinois,,,102
9,Sidney R. Yates,D,Illinois,,,102
10,John Edward Porter,R,Illinois,,,102
11,Frank Annunzio,D,Illinois,,,102
12,Philip M. Crane,R,Illinois,,,102
13,Harris W. Fawell,R,Illinois,,,102
14,Dennis Hastert,R,Illinois,,,102
15,Edward R. Madigan,R,Illinois,1991-03-08 00:00:00,,102
15,Thomas W. Ewing,R,Illinois,,1991-07-02 00:00:00,102
16,"John W. Cox, Jr.",D,Illinois,,,102
17,Lane Evans,D,Illinois,,,102
18,Robert H. Michel,R,Illinois,,,102
19,Terry L. Bruce,D,Illinois,,,102
20,Richard J. Durbin,D,Illinois,,,102
21,Jerry F. Costello,D,Illinois,,,102
22,Glenn Poshard,D,Illinois,,,102
1,Peter J. Visclosky,D,Indiana,,,102
2,Philip R. Sharp,D,Indiana,,,102
3,Tim Roemer,D,Indiana,,,102
4,Jill L. Long,D,Indiana,,,102
5,Jim Jontz,D,Indiana,,,102
6,Dan Burton,R,Indiana,,,102
7,John T. Myers,R,Indiana,,,102
8,Frank McCloskey,D,Indiana,,,102
9,Lee H. Hamilton,D,Indiana,,,102
10,"Andrew Jacobs, Jr.",D,Indiana,,,102
1,James A. Leach,R,Iowa,,,102
2,Jim Nussle,R,Iowa,,,102
3,Dave Nagle,D,Iowa,,,102
4,Neal Smith,D,Iowa,,,102
5,Jim Ross Lightfoot,R,Iowa,,,102
6,Fred Grandy,R,Iowa,,,102
1,Pat Roberts,R,Kansas,,,102
2,Jim Slattery,D,Kansas,,,102
3,Jan Meyers,R,Kansas,,,102
4,Dan Glickman,D,Kansas,,,102
5,Dick Nichols,R,Kansas,,,102
1,"Carroll Hubbard, Jr.",D,Kentucky,,,102
2,William H. Natcher,D,Kentucky,,,102
3,Romano L. Mazzoli,D,Kentucky,,,102
4,Jim Bunning,R,Kentucky,,,102
5,Hal Rogers,R,Kentucky,,,102
6,Larry J. Hopkins,R,Kentucky,,,102
7,Carl C. Perkins,D,Kentucky,,,102
1,Bob Livingston,R,Louisiana,,,102
2,William J. Jefferson,D,Louisiana,,,102
3,W.J. Billy Tauzin,D,Louisiana,,,102
4,Jim McCrery,R,Louisiana,,,102
5,Jerry Huckaby,D,Louisiana,,,102
6,Richard H. Baker,R,Louisiana,,,102
